"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg"
2001,305450701.3683367,1943318.744011971,559992952.5086172
2002,341131526.8342674,2038435.691035805,625407799.1961567
2003,262431520.78820047,1649383.9095027265,481124454.7783675
2004,387013930.0844905,2746257.2881786483,709525538.4882326
2005,351023615.88274163,2691544.210956299,643543295.7850262
2006,359518921.66329485,2605855.5543936715,659118023.049374
2007,381046293.6312151,2435127.9796808213,698584871.6572275
2008,394710931.6753293,2213723.4953283234,723636708.0714371
2009,257281197.25408536,1608980.9631820214,471682194.9658233
2010,292631627.308832,2167662.188313326,536491316.7328587
2011,255798812.99524298,1663692.304400236,468964490.4912789
2012,302003440.58334535,1964094.3492653945,553672974.4027997
2013,250203423.72660756,1736445.4980799274,458706276.8321139
2014,281045457.9241504,1736526.807150264,515250006.1942759
2015,282887906.14505184,2289649.127923191,518627827.93259495
2016,347026251.6681439,2264066.7497077077,636214794.7249304
2017,360991721.23346794,2311358.030429936,661818155.594691
2018,362207699.86051,2092359.4724430954,664047449.7442681
2019,306801904.1629195,2109918.282628731,562470157.6320189
